uby	year	file	unit	nest	unit_box	egg	egg_mass	lay_order	L	T	A	E	eggLengthpx	len_IJ	wid_IJ	len_redo	wid_redo	exclude	note	fband	mband	ci_doy	clutch_size	max_brood	d6_brood	d6_mass	num_fled	nest_exp	nest_treat	f_age	f_mass1	f_wing1	f_hb1	m_mass1	m_wing1	m_hb1	gen_mother	fem_birth_yr	fem_birth_loc	epy_in_nest	wpy_in_nest	unk_in_nest	num_pat_knwn	pointedness	elongation	polarasymmetry	volume
2_115_2020	2020	2_115	2	115	2_115	D			1.1478	0.74154	0.14782	0.34854	474	17.717	13.274					272107217	272107690	133	6	4	4	41.9	0	CortDose	Control	ASY	23.75	119	28.9	22.5	127	29.2				2	2	0	4	0.53681897	1.331061027	1.533117409	1.59190308
2_126_2020	2020	2_126	2	126	2_126	C			1.1135	0.65671	0.11355	0.52275	520	19.211	12.733					281174701	281128625	151	6	5	5	54.3	0	CortDose	Control	SY	18.25	117	27.9	20	117	29.6				1	2	0	3	0.536339255	1.501410133	1.163020729	1.593108602
1_25_2021	2021	1_25	1	25	1_25	B	1.6		1.2425	0.7107	0.2425	0.40703	400	18.183	13.161					272108395	272107381	133	6	6			3	Cold_Snap	Cold_Control	SY	22.25	114	28.7	19	118	28.8								0.58166591	1.371174062	1.654114855	1.594440567
1_315_2020	2020	1_315	1	315	1_315	E			1.2378	0.71944	0.23777	0.38998	557	18.079	13.534					281128645		142	5	4	0	0	0	Validation	BDC	SY	19.5	117	27.4				278172227	2019	1_345					0.583808063	1.377674099	1.617653888	1.594952331
1_80_2020	2020	1_80	1	80	1_80	C			1.2337	0.68138	0.23368	0.46762	450	18.746	12.994					281128559		143	6	5	5	43.9	0	CortDose	Control	SY	22	114	29.7							1	1	3	2	0.571874919	1.450344745	1.636809736	1.597783477
2_31_2020	2020	2_31	2	31	2_31	D			1.1889	0.6585	0.1889	0.5185	409	19.191	12.843					88004754		136	5	5	0	0	0	CortDose	Control	ASY	23.5	121	28.3											0.557052776	1.487176889	1.570342456	1.605460933
1_377_2020	2020	1_377	1	377	1_377	D			1.2193	0.67762	0.21927	0.47576	509	18.869	13.181					281128805		141	6	6	0	0	0	Validation	BCA	SY	20.5	112	27.8				272107809	2019	1_81					0.571116453	1.441343187	1.415502097	1.608032423
1_80_2020	2020	1_80	1	80	1_80	D			1.2628	0.6705	0.2628	0.49147	453	19.027	12.98					281128559		143	6	5	5	43.9	0	CortDose	Control	SY	22	114	29.7							1	1	3	2	0.567630564	1.476005239	1.856620362	1.613594952
2_86_2021	2021	2_86	2	86	2_86	C	1.6		1.0972	0.6693	0.0972	0.4941	421	19.024	12.595					272107217	281172255	134	5	5			5	Carryover	Prev_Control	ASY	23	118	28.9	20	126	29.5								0.55994559	1.505375831	1.038198368	1.61472211
1_431_2020	2020	1_431	1	431	1_431	B			1.22	0.7215	0.22005	0.38601	466	18.056	13.623					240150380		140	5	5	0	0	0	Validation	BCA	SY	23.25	112	27.3											0.574064012	1.34939609	1.617687752	1.619914193
1_125_2020	2020	1_125	1	125	1_125	C			1.204	0.70973	0.20399	0.40899	459	18.269	13.401					240150382	281128570	143	6	6	6	47	0	CortDose	Control	SY	20.5	112	27.9	20.5	122	28.6				0	4	2	4	0.579671037	1.375795422	1.549267906	1.621192104
1_60_2021	2021	1_60	1	60	1_60	C			1.2632	0.67532	0.26322	0.48078	488	18.901	13.025					281128458	281174131	137	5	5			5	Cold_Snap	Cold_Control	ASY	21	119	28.6	19.5	124	28.9								0.588411945	1.455304698	1.641781514	1.622683796
1_127_2020	2020	1_127	1	127	1_127	B			1.1432	0.7175	0.1432	0.3936	283	18.122	13.462					281174517		145	5	5	4	27.8	0	CortDose	Control	SY	19	115	28.3							0	2	0	2	0.566592522	1.373596995	1.389557231	1.623464782
1_80_2021	2021	1_80	1	80	1_80	E	1.7		1.2694	0.66649	0.26936	0.50039	357	19.136	13.135					281128559	272107634	130	7	4			3	Carryover	Prev_Control	ASY	24.5	116	29.5											0.579198455	1.476494208	1.767748174	1.627674956
1_318_2020	2020	1_318	1	318	1_318	D			1.2155	0.64933	0.21553	0.54005	482	19.464	13.079					281128705		139	6	6	0	0	0	Validation	BDC	ASY	25.75	118	28.9											0.557535652	1.510138316	1.77239528	1.629480317
2_79_2021	2021	2_79	2	79	2_79	D			1.1671	0.7127	0.16712	0.4031	407	18.231	13.022					278172154		135	6	0			0	Carryover	Prev_Cort	ASY	22	117	27.9											0.578876929	1.403567598	1.289180571	1.629770874
2_97_2020	2020	2_97	2	97	2_97	D			1.1912	0.7585	0.1912	0.3183	341	17.556	13.439					281174514	278172245	144	5	4	4	41.5	0	CortDose	Cort	SY	21	117	28.4	19	123	28.6				2	1	0	3	0.595095801	1.309911892	1.486238756	1.629814238
1_80_2021	2021	1_80	1	80	1_80	C	1.4		1.2494	0.68362	0.2494	0.4628	349	18.772	12.793					281128559	272107634	130	7	4			3	Carryover	Prev_Control	ASY	24.5	116	29.5											0.582953164	1.446798727	1.890488998	1.631010767
2_8_2021	2021	2_8	2	8	2_8	B			1.181	0.76569	0.18099	0.30601	441	17.461	13.653					281174005	281174982	136	5	1			1	Cold_Snap	Cold_Control	SY	21.5	111	28.2	19.5	116	28.6								0.550985763	1.287036263	1.493930495	1.637809485
2_28_2020	2020	2_28	2	28	2_28	D			1.2336	0.73617	0.23362	0.35838	537	17.884	13.497					281128737	278172168	141	5	4	4	32.7	0	CortDose	Cort	SY	22	120	28.7	19.5	121	28	272107748	2019	2_39	0	3	0	3	0.571306907	1.328897233	1.576492532	1.637822761
2_31_2020	2020	2_31	2	31	2_31	E			1.209	0.6907	0.209	0.4478	400	18.744	13.197					88004754		136	5	5	0	0	0	CortDose	Control	ASY	23.5	121	28.3											0.557075965	1.425062577	1.67614157	1.638202581
1_377_2020	2020	1_377	1	377	1_377	E			1.2913	0.64977	0.29128	0.539	529	19.51	13.41					281128805		141	6	6	0	0	0	Validation	BCA	SY	20.5	112	27.8				272107809	2019	1_81					0.591428701	1.485668086	1.740512717	1.644207867
1_312_2020	2020	1_312	1	312	1_312	C			1.2205	0.73903	0.2205	0.35313	437	17.938	13.453					281128703		145	6	6	0	0	0	Validation	BCA	ASY	23.25	114	28.3											0.559288385	1.328257847	1.538912343	1.648771822
2_87_2020	2020	2_87	2	87	2_87	D			1.1599	0.73025	0.15986	0.36939	411	18.03	13.133					281174512		142	6	0	0	0	0	CortDose	Control	SY	19.5	118	29.2											0.54930608	1.355608262	1.375614757	1.649785937
2_66_2020	2020	2_66	2	66	2_66	B			1.2389	0.7215	0.2389	0.3861	602	18.168	13.543					278172163	272107774	142	4	4	4	35.7	0	CortDose	Control	ASY	22.5	119	29.3	20	120	28.3				1	3	0	4	0.578449568	1.346590174	1.836531861	1.651433627
1_134_2020	2020	1_134	1	134	1_134	C			1.2015	0.71253	0.20146	0.40345	499	18.356	13.482					240150379		140	5	5	5	51.6	0	CortDose	Control	SY	22.5	117	27.7							2	1	0	3	0.569118625	1.379139389	1.524638176	1.651541759
2_12_2021	2021	2_12	2	12	2_12	C			1.2649	0.73701	0.2649	0.35684	403	17.891	13.439					281174995		138	6	0			0	Cold_Snap		SY	18.25	122	28.2											0.593739581	1.334376808	1.675168125	1.654083343
1_312_2020	2020	1_312	1	312	1_312	D			1.175	0.75435	0.17497	0.32565	432	17.725	13.591					281128703		145	6	6	0	0	0	Validation	BCA	ASY	23.25	114	28.3											0.557749551	1.30657754	1.49254181	1.654664894
2_31_2020	2020	2_31	2	31	2_31	C			1.1838	0.6685	0.1838	0.4959	410	19.214	13.159					88004754		136	5	5	0	0	0	CortDose	Control	ASY	23.5	121	28.3											0.563651402	1.471633291	1.525130704	1.65857192
1_104_2020	2020	1_104	1	104	1_104	B			1.259	0.6162	0.259	0.6228	290	20.326	12.317					281174516	281128435	145	5	0	0	0	0	CortDose	Cort	SY	22	115	29	21	114	29.3								0.597014116	1.59924236	1.516015393	1.659983168
2_6_2020	2020	2_6	2	6	2_6	D			1.213	0.69678	0.21297	0.43518	528	18.673	13.126					281174502	281128744	139	5	4	4	48.3	0	CortDose	Cort	SY	23	113	28.7	18.5	119	28.5				1	2	0	3	0.560906483	1.415540613	1.891006156	1.661208643
2_34_2020	2020	2_34	2	34	2_34	D			1.24	0.6653	0.24	0.5032	410	19.22	12.998					272107805	281174521	134	5	2	2	27.6	0	CortDose	Cort	ASY	22.5	114	28.5	21.5	122	28.9				1	1	0	2	0.571294586	1.472888291	1.667023561	1.662395733
2_124_2020	2020	2_124	2	124	2_124	C			1.1319	0.82172	0.13189	0.21696	410	16.732	14.106					278171872	281174105	139	6	4	0	0	0	CortDose	Cort	ASY	21.5	116	28.9	20	116	29								0.551245049	1.208634836	1.360915822	1.663798799
1_17_2021	2021	1_17	1	17	1_17	D	1.8		1.2445	0.6584	0.24447	0.5189	456	19.365	12.867					281174135		132	6	0			0	Cold_Snap		SY	20.5	116	28.3				240150375	2020	1_437					0.579290196	1.48960539	1.756984916	1.664174037
2_105_2020	2020	2_105	2	105	2_105	D			1.2158	0.7541	0.21577	0.32609	393	17.745	13.615					272107748	281174519	136	6	6	6	78.1	0	CortDose	Control	ASY	25	126	29.2	19	115	28.3				0	5	0	5	0.578433191	1.310895016	1.696604998	1.665176155
1_429_2020	2020	1_429	1	429	1_429	E			1.2899	0.68477	0.28994	0.46035	518	18.953	13.202					240150392		146	6	6	0	0	0	Validation	BDA	SY	22	114	27.7											0.574877909	1.433060296	1.556272284	1.666558989
2_97_2020	2020	2_97	2	97	2_97	C			1.3275	0.6787	0.3275	0.4735	371	18.933	13.475					281174514	278172245	144	5	4	4	41.5	0	CortDose	Cort	SY	21	117	28.4	19	123	28.6				2	1	0	3	0.599255019	1.419529147	1.91166327	1.670191226
1_412_2020	2020	1_412	1	412	1_412	B			1.2369	0.69074	0.23688	0.44773	583	18.864	13.179					240150389		148	4	0	0	0	0	Validation	BCC	SY	21	115	28.2											0.572922264	1.418901189	1.842407715	1.672838606
1_127_2020	2020	1_127	1	127	1_127	D			1.2282	0.6834	0.2282	0.4633	296	18.989	13.407					281174517		145	5	5	4	27.8	0	CortDose	Control	SY	19	115	28.3							0	2	0	2	0.574757105	1.433788349	1.405258864	1.674179077
2_6_2020	2020	2_6	2	6	2_6	B			1.2385	0.68958	0.23849	0.45017	535	18.86	13.368					281174502	281128744	139	5	4	4	48.3	0	CortDose	Cort	SY	23	113	28.7	18.5	119	28.5				1	2	0	3	0.573340488	1.422801662	1.837193061	1.674390423
2_21_2020	2020	2_21	2	21	2_21	A			1.1582	0.74588	0.1582	0.3407	306	17.942	13.876					281128562	281128656	147	6	5	5	36.2	0	CortDose	Control	SY	21.5	114	29	21	123	29.8				2	2	0	4	0.566032016	1.324115395	1.561604405	1.676874676
2_34_2020	2020	2_34	2	34	2_34	C			1.2839	0.6807	0.2839	0.469	407	19.059	13.139					272107805	281174521	134	5	2	2	27.6	0	CortDose	Cort	ASY	22.5	114	28.5	21.5	122	28.9				1	1	0	2	0.572263935	1.451900514	1.950873618	1.677755367
1_104_2020	2020	1_104	1	104	1_104	D			1.2699	0.6151	0.2699	0.6259	293	20.4	12.722					281174516	281128435	145	5	0	0	0	0	CortDose	Cort	SY	22	115	29	21	114	29.3								0.605204377	1.605439787	1.288839043	1.678027611
1_88_2021	2021	1_88	1	88	1_88	C			1.2051	0.6762	0.2051	0.4788	428	19.158	13.33					281174805		139	5	0			0	Cold_Snap		SY	18.5	114	28.4											0.575063966	1.447573853	1.570181201	1.679036447
2_35_2020	2020	2_35	2	35	2_35	E			1.224	0.74893	0.22404	0.33524	464	17.821	13.632					281174509	281128516	139	6	6	6	60.5	0	CortDose	Control	SY	22	116	28.6	19	119	29.1				1	5	0	6	0.580779771	1.303985712	1.522101993	1.679499801
2_77_2021	2021	2_77	2	77	2_77	C			1.21	0.727	0.21	0.3755	398	18.242	13.68					281174006		135	6	0			0	Cold_Snap		ASY	21	118	27.9											0.565764686	1.34561973	1.72750956	1.680728744
2_15_2021	2021	2_15	2	15	2_15	C		1t4	1.1381	0.73209	0.13805	0.36594	422	18.194	13.537					272108365		129	6	3			0	Cold_Snap		SY	22.75	112	27.9											0.539396127	1.344867984	1.168481936	1.681350411
1_121_2021	2021	1_121	1	121	1_121	C			1.2178	0.65056	0.21785	0.53714	463	19.623	12.914					281128461	281174809	137	5	4			3	Cold_Snap	Cold_Control	ASY	20.75	115	28.7	20	114	28.7								0.580959413	1.526614443	1.602573034	1.683565636
1_412_2020	2020	1_412	1	412	1_412	C			1.2316	0.68236	0.23164	0.46551	589	18.993	13.308					240150389		148	4	0	0	0	0	Validation	BCC	SY	21	115	28.2											0.57547718	1.43444614	1.487202568	1.685035856
2_115_2020	2020	2_115	2	115	2_115	E			1.1614	0.74199	0.16142	0.34773	484	18.088	13.481					272107217	272107690	133	6	4	4	41.9	0	CortDose	Control	ASY	23.75	119	28.9	22.5	127	29.2				2	2	0	4	0.57361347	1.344991464	1.264331835	1.688217815
1_431_2020	2020	1_431	1	431	1_431	C			1.2489	0.71231	0.24886	0.40389	472	18.523	13.774					240150380		140	5	5	0	0	0	Validation	BCA	SY	23.25	112	27.3											0.56872613	1.371811168	1.733483821	1.689590797
2_70_2020	2020	2_70	2	70	2_70	B			1.2168	0.75002	0.2168	0.33329	409	17.858	13.656					278172313	281128565	142	5	5	5	53	0	CortDose	Cort	SY	20	113	28.2	20.5	118	29	263114113	2019	4_94	1	4	0	5	0.573834212	1.31777682	1.512766852	1.689856325
2_19_2020	2020	2_19	2	19	2_19	C			1.2107	0.69958	0.21071	0.42943	508	18.787	13.506					281174510	281128631	142	5	5	5	39.6	0	CortDose	Control	SY	18.5	117	28.6	19.25	117	27.9				2	2	0	4	0.558173206	1.393015928	1.874579327	1.689916544
1_109_2021	2021	1_109	1	109	1_109	D			1.2341	0.68249	0.23407	0.46521	488	19.081	13.307					281174807		138	6	0			0	Cold_Snap		SY	20.5	117	28.3											0.576112415	1.443155445	1.484588893	1.692336449
1_366_2020	2020	1_366	1	366	1_366	E			1.086	0.84386	0.086038	0.18503	421	16.552	14.269					278172150		137	5	5	0	0	0	Validation	BDC	ASY	22.5	117	28.4											0.530463348	1.171447565	1.237107109	1.697095447
2_44_2020	2020	2_44	2	44	2_44	D			1.2077	0.68189	0.20771	0.46651	292	19.159	13.095					281128816	272106957	143	5	4	4	37.6	0	CortDose	Cort	SY	21	110	29.2	19	125	28.3	281128707	2019	1_329	2	2	0	4	0.585605663	1.46051159	1.324277282	1.697677258
1_330_2020	2020	1_330	1	330	1_330	F			1.1622	0.80384	0.16218	0.24402	469	17.137	14.236					272107790		140	6	5	0	0	0	Validation	BDA	ASY	22.5	120	28											0.555699854	1.215332987	1.308099559	1.698625387
2_93_2020	2020	2_93	2	93	2_93	C			1.2367	0.69835	0.23668	0.43194	554	18.786	13.399					281128551		140	4	4	4	46.3	0	CortDose	Cort	ASY	22	114	29							2	2	0	4	0.578533776	1.408620819	1.660661284	1.700446193
1_34_2021	2021	1_34	1	34	1_34	B	1.4		1.1743	0.6493	0.1743	0.5402	421	19.717	12.725					281174128		133	6	0			0	Cold_Snap		SY	21	115	29.1				278172095	2020	1_303					0.579457677	1.531430774	1.354118447	1.701718678
1_429_2020	2020	1_429	1	429	1_429	B			1.2515	0.68892	0.25153	0.45155	520	18.972	13.423					240150392		146	6	6	0	0	0	Validation	BDA	SY	22	114	27.7											0.56440976	1.420286634	1.62763727	1.7034217
1_9_2020	2020	1_9	1	9	1_9	C			1.1126	0.65357	0.11259	0.53007	517	19.701	13.267					240150396	281174585	149	6	6	6	72.6	0	CortDose	Control	SY	21.5	111	28.1	20	118	28.8				0	6	0	6	0.558183979	1.519931201	1.109390748	1.705832081
1_377_2020	2020	1_377	1	377	1_377	C			1.3209	0.64696	0.32086	0.54568	534	19.759	13.535					281128805		141	6	6	0	0	0	Validation	BCA	SY	20.5	112	27.8				272107809	2019	1_81					0.575029276	1.48782472	2.165499848	1.705905092
2_21_2020	2020	2_21	2	21	2_21	B			1.2118	0.69464	0.21178	0.4396	316	18.904	13.165					281128562	281128656	147	6	5	5	36.2	0	CortDose	Control	SY	21.5	114	29	21	123	29.8				2	2	0	4	0.578556841	1.415426489	1.585579186	1.707403949
1_371_2020	2020	1_371	1	371	1_371	E			1.2578	0.69999	0.25778	0.42859	491	18.811	13.633					281128701	272107009	134	6	6	0	0	0	Validation	BDC	ASY	23.75	115	28.7	22.5	124	29.3								0.571793636	1.390522954	1.749834881	1.707569383
2_17_2020	2020	2_17	2	17	2_17	C			1.16411	0.72268	0.16411	0.38374	412	18.339	13.317					281174518	281174554	146	5	4	4	47.4	0	CortDose	Cort	SY	21.5	119	28.1	19.5	116	28.5				1	3	0	4	0.582867342	1.374992073	1.203164786	1.707582724
1_330_2020	2020	1_330	1	330	1_330	D			1.2166	0.72286	0.21662	0.3834	497	18.222	13.523					272107790		140	6	5	0	0	0	Validation	BDA	ASY	22.5	120	28											0.574622201	1.341823395	1.750971508	1.708135337
2_92_2021	2021	2_92	2	92	2_92	E			1.2312	0.72292	0.23116	0.38328	333	18.397	13.559					281174803	281174702	135	7	1			1	Cold_Snap	Cold_Control	ASY	23.5	116	28.2	20	121	28.7								0.575516902	1.358410098	1.56798767	1.709010256
2_44_2020	2020	2_44	2	44	2_44	C			1.2822	0.63785	0.28222	0.56777	304	19.925	12.937					281128816	272106957	143	5	4	4	37.6	0	CortDose	Cort	SY	21	110	29.2	19	125	28.3	281128707	2019	1_329	2	2	0	4	0.596087843	1.535028757	1.57534138	1.714931886
2_25_2021	2021	2_25	2	25	2_25	D			1.1373	0.6821	0.1373	0.4661	419	19.189	13.266					272107361		135	6	6			6	Carryover	Prev_Control	ASY	22	113	28.6											0.565752529	1.448444476	1.222000589	1.715740005
1_429_2020	2020	1_429	1	429	1_429	F			1.2131	0.7197	0.21311	0.38948	505	18.486	13.538					240150392		146	6	6	0	0	0	Validation	BDA	SY	22	114	27.7											0.564367647	1.374633876	1.52847095	1.716449494
2_34_2021	2021	2_34	2	34	2_34	E			1.1031	0.7421	0.1031	0.3476	374	18.153	13.489					281174509		137	6	0			0	Carryover	Prev_Control	ASY	22	114	27.5											0.55755669	1.352235228	1.076697932	1.716714723
